Country,Date,District,Confirmed,Confirmed-total,Deaths,Deaths-total,Recovered,Recovered-total,Imported,Local,New Arrival-T,Cumulative high-risk traveller,Contacts on Follow-up,Contacts discharged,Samples Recieved,Total Tested,Positive,Negative,Average Tests,Age group,Male,Female,Unknown,Local Transmission,Imported
Malawi,17 July 2020,Dowa,3,47,0,1,0,4,21,26,,,,,,,,,,,,,,,
Malawi,17 July 2020,Karonga,1,30,0,1,0,10,11,19,,,,,,,,,,,,,,,
Malawi,17 July 2020,Kasungu,1,26,0,1,0,5,13,13,,,,,,,,,,,,,,,
Malawi,17 July 2020,Lilongwe,16,547,1,11,2,307,83,464,,,,,,,,,,,,,,,
Malawi,17 July 2020,Machinga,1,42,0,0,0,26,42,0,,,,,,,,,,,,,,,
Malawi,17 July 2020,Mangochi,2,99,0,0,15,51,74,25,,,,,,,,,,,,,,,
Malawi,17 July 2020,Mchinji,0,43,0,5,1,10,5,38,,,,,,,,,,,,,,,
Malawi,17 July 2020,Mulanje,0,23,0,1,0,9,8,15,,,,,,,,,,,,,,,
Malawi,17 July 2020,Mwanza,0,24,0,0,0,4,13,11,,,,,,,,,,,,,,,
Malawi,17 July 2020,Mwanza PoE,0,173,0,0,0,167,173,0,,,,,,,,,,,,,,,
Malawi,17 July 2020,Mzimba North,3,390,0,10,7,172,11,379,,,,,,,,,,,,,,,
Malawi,17 July 2020,Mzimba South,0,95,0,0,0,18,28,67,,,,,,,,,,,,,,,
Malawi,17 July 2020,Neno,4,32,0,0,2,7,2,30,,,,,,,,,,,,,,,
Malawi,17 July 2020,Nkhata Bay,0,80,0,1,0,22,27,53,,,,,,,,,,,,,,,
Malawi,17 July 2020,Nkhotakota,0,30,0,0,0,22,27,3,,,,,,,,,,,,,,,
Malawi,17 July 2020,Nsanje,0,30,0,0,0,19,22,8,,,,,,,,,,,,,,,
Malawi,17 July 2020,Ntcheu,0,36,0,0,0,11,26,10,,,,,,,,,,,,,,,
Malawi,17 July 2020,Phalombe,1,9,0,0,0,5,3,6,,,,,,,,,,,,,,,
Malawi,17 July 2020,Rumphi,2,22,0,0,0,0,7,15,,,,,,,,,,,,,,,
Malawi,17 July 2020,Salima,0,21,0,0,0,16,16,5,,,,,,,,,,,,,,,
Malawi,17 July 2020,Thyolo,0,45,0,1,0,26,25,20,,,,,,,,,,,,,,,
Malawi,17 July 2020,Zomba,6,62,0,1,0,1,21,41,,,,,,,,,,,,,,,
Malawi,18 July 2020,Balaka,0,34,0,1,0,15,31,3,,,,,,,,,,,,,,,
Malawi,18 July 2020,Blantyre,35,808,2,22,4,114,121,687,,,,,,,,,,,,,,,
Malawi,18 July 2020,Chikwawa,0,19,0,0,0,17,16,3,,,,,,,,,,,,,,,
Malawi,18 July 2020,Chiradzulu,0,13,0,0,0,9,12,1,,,,,,,,,,,,,,,
Malawi,18 July 2020,Chitipa,0,43,1,2,0,35,4,39,,,,,,,,,,,,,,,
Malawi,18 July 2020,Dedza,1,23,0,0,0,13,21,2,,,,,,,,,,,,,,,
Malawi,18 July 2020,Dowa,2,49,0,1,0,4,21,28,,,,,,,,,,,,,,,
Malawi,18 July 2020,Karonga,1,31,0,1,0,10,11,20,,,,,,,,,,,,,,,
Malawi,18 July 2020,Kasungu,3,29,0,1,0,5,13,16,,,,,,,,,,,,,,,
Malawi,18 July 2020,Likoma,1,1,0,0,0,0,0,1,,,,,,,,,,,,,,,
Malawi,18 July 2020,Lilongwe,24,571,0,11,0,307,83,488,,,,,,,,,,,,,,,
Malawi,18 July 2020,Machinga,0,42,0,0,0,26,42,0,,,,,,,,,,,,,,,
Malawi,18 July 2020,Mangochi,2,101,0,0,0,51,76,25,,,,,,,,,,,,,,,
Malawi,18 July 2020,Mchinji,1,44,0,5,0,10,5,39,,,,,,,,,,,,,,,
Malawi,18 July 2020,Mulanje,1,24,0,1,0,9,8,16,,,,,,,,,,,,,,,
Malawi,18 July 2020,Mwanza,2,26,0,0,0,4,13,13,,,,,,,,,,,,,,,
Malawi,18 July 2020,Mwanza PoE,0,173,0,0,0,167,173,0,,,,,,,,,,,,,,,
Malawi,18 July 2020,Mzimba North,16,406,0,10,0,172,11,395,,,,,,,,,,,,,,,
Malawi,18 July 2020,Mzimba South,0,95,1,1,0,18,28,67,,,,,,,,,,,,,,,
Malawi,18 July 2020,Neno,1,33,0,0,3,10,2,31,,,,,,,,,,,,,,,
Malawi,18 July 2020,Nkhata Bay,5,85,0,1,0,22,27,58,,,,,,,,,,,,,,,
Malawi,18 July 2020,Nkhotakota,0,30,0,0,0,22,27,3,,,,,,,,,,,,,,,
Malawi,18 July 2020,Nsanje,0,30,0,0,0,19,22,8,,,,,,,,,,,,,,,
Malawi,18 July 2020,Ntcheu,0,36,0,0,0,11,26,10,,,,,,,,,,,,,,,
Malawi,18 July 2020,Phalombe,0,9,0,0,0,5,3,6,,,,,,,,,,,,,,,
Malawi,18 July 2020,Rumphi,0,22,0,0,1,1,7,15,,,,,,,,,,,,,,,
Malawi,18 July 2020,Salima,0,21,0,0,3,19,16,5,,,,,,,,,,,,,,,
Malawi,18 July 2020,Thyolo,0,45,0,1,2,28,25,20,,,,,,,,,,,,,,,
Malawi,18 July 2020,Zomba,2,64,0,1,11,12,22,42,,,,,,,,,,,,,,,
Malawi,19 July 2020,Balaka,2,36,0,1,0,15,33,3,,,,,,,,,,,,,,,
Malawi,19 July 2020,Blantyre,32,840,3,25,0,114,128,712,,,,,,,,,,,,,,,
Malawi,19 July 2020,Chikwawa,0,19,0,0,0,17,16,3,,,,,,,,,,,,,,,
Malawi,19 July 2020,Chiradzulu,0,13,0,0,5,14,12,1,,,,,,,,,,,,,,,
Malawi,19 July 2020,Chitipa,0,43,0,2,0,35,4,39,,,,,,,,,,,,,,,
Malawi,19 July 2020,Dedza,3,26,0,0,0,13,23,3,,,,,,,,,,,,,,,
Malawi,19 July 2020,Dowa,0,49,0,1,0,4,21,28,,,,,,,,,,,,,,,
Malawi,19 July 2020,Karonga,1,32,0,1,0,10,12,20,,,,,,,,,,,,,,,
Malawi,19 July 2020,Kasungu,2,30,0,1,0,5,14,16,,,,,,,,,,,,,,,
Malawi,19 July 2020,Likoma,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,
Malawi,19 July 2020,Lilongwe,6,577,0,10,0,307,85,492,,,,,,,,,,,,,,,
Malawi,19 July 2020,Machinga,2,44,0,0,0,26,44,0,,,,,,,,,,,,,,,
Malawi,19 July 2020,Mangochi,7,108,0,0,10,61,83,25,,,,,,,,,,,,,,,
Malawi,19 July 2020,Mchinji,0,44,0,5,2,12,5,39,,,,,,,,,,,,,,,
Malawi,19 July 2020,Mulanje,2,26,0,1,1,10,8,18,,,,,,,,,,,,,,,
Malawi,19 July 2020,Mwanza,0,26,0,1,0,4,13,13,,,,,,,,,,,,,,,
Malawi,19 July 2020,Mwanza PoE,0,173,0,0,0,167,173,0,,,,,,,,,,,,,,,
Malawi,19 July 2020,Mzimba North,9,415,0,10,0,172,11,404,,,,,,,,,,,,,,,
Malawi,19 July 2020,Mzimba South,0,95,0,1,0,18,28,67,,,,,,,,,,,,,,,
Malawi,19 July 2020,Neno,0,33,0,0,0,10,2,31,,,,,,,,,,,,,,,
Malawi,19 July 2020,Nkhata Bay,4,89,0,1,0,22,30,59,,,,,,,,,,,,,,,
Malawi,19 July 2020,Nkhotakota,2,32,0,0,0,22,29,3,,,,,,,,,,,,,,,
Malawi,19 July 2020,Nsanje,1,31,0,0,0,19,23,8,,,,,,,,,,,,,,,
Malawi,19 July 2020,Ntcheu,1,37,0,0,0,11,26,11,,,,,,,,,,,,,,,
Malawi,19 July 2020,Ntchisi,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,
Malawi,19 July 2020,Phalombe,0,9,0,0,0,5,3,6,,,,,,,,,,,,,,,
Malawi,19 July 2020,Rumphi,0,22,0,0,0,1,7,15,,,,,,,,,,,,,,,
Malawi,19 July 2020,Salima,2,23,0,0,0,19,18,5,,,,,,,,,,,,,,,
Malawi,19 July 2020,Thyolo,1,46,0,1,0,28,26,20,,,,,,,,,,,,,,,
Malawi,19 July 2020,Zomba,8,72,0,1,0,12,26,46,,,,,,,,,,,,,,,
Malawi,20 July 2020,Balaka,1,37,0,1,0,15,34,3,,,,,,,,,,,,,,,
